Perfil;Campus;Area;AtivAdm;SitTrab;Capacitacao;Qualificacao;Qualicursos;apoiofin;DistCHDoc;DistCHTae;Qualivida;Saudeocupa;Divulgacarr;ClimaOrg;Motivacao;OrgCol[DivDec];OrgCol[ImplDec];OrgCol[RepOrgCol];AvaliaSetores[REIT];AvaliaSetores[PROAE];AvaliaSetores[PROPP];AvaliaSetores[PRGRA];AvaliaSetores[PROEX];AvaliaSetores[PRCUL];AvaliaSetores[PRINF];AvaliaSetores[PRGPE];AvaliaSetores[PRPLA];AvaliaSetores[DIAFF];AvaliaSetores[DII];AvaliaSetores[DIAVI];AvaliaSetores[DRI];AvaliaSetores[DI];AvaliaSetores[DIRGGV];AvaliaSetores[DUX];AvaliaSetores[CDX];EstReg;RegUni;CPA;AplRF[DAtEn];AplRF[DAtPe];AplRF[DAtEx];AplRF[DAtInov];AplRF[AqEqi];AplRF[MAREF];AplRF[InCapS];AplRF[BProj];AplRF[BMoTP];TrInv
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;"Setores da Administração Central (Por exemplo: Pró-reitorias; RestauranteUniversitário, Biblioteca, etc.)";Não exerci atividade de chefia;Presencial;Discordo;Discordo;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Discordo;Não concordo nem discordo;Não sei / Não se aplica;Concordo;Discordo;Discordo totalmente;Discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Coordenador(a) ou vice-Coordenador(a) de curso de graduação ou de programa de pós-graduação;Remoto;Concordo;Não concordo nem discordo;Concordo totalmente;Não sei / Não se aplica;Não concordo nem discordo;Discordo;Discordo;Não concordo nem discordo;Concordo;Concordo totalmente;Concordo totalmente;Discordo;Discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Concordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Discordo
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Linguística, Letras e Artes;Coordenador(a) ou vice-Coordenador(a) de curso de graduação ou de programa de pós-graduação;Remoto;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Não concordo nem discordo;Concordo;Discordo;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Concordo;Discordo;Discordo;Discordo;Não concordo nem discordo;Discordo;Discordo;Não concordo nem discordo
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Avançado Governador Valadares;"Setores da Administração Central (Por exemplo: Pró-reitorias; RestauranteUniversitário, Biblioteca, etc.)";Não exerci atividade de chefia;Semi-presencial;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Não concordo nem discordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Não concordo nem discordo;Discordo totalmente;Discordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Discordo
Servidor(a) Docente;UFJF - Campus Avançado Governador Valadares;Ciências Humanas, Sociais e Aplicadas;Coordenador(a) ou vice-Coordenador(a) de curso de graduação ou de programa de pós-graduação;Remoto;Discordo totalmente;Não sei / Não se aplica;Não concordo nem discordo;Discordo;Discordo;Concordo totalmente;Discordo totalmente;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo totalmente;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Não concordo nem discordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Concordo totalmente;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Concordo;Concordo;Concordo totalmente;Não concordo nem discordo
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;"Setores da Administração Central (Por exemplo: Pró-reitorias; RestauranteUniversitário, Biblioteca, etc.)";Outros cargos de chefia;Presencial;Discordo;Discordo;Discordo;Discordo;Não sei / Não se aplica;Discordo;Discordo;Discordo;Discordo;Discordo totalmente;Discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Discordo;Discordo;Não sei / Não se aplica;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Discordo;Discordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Discordo
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Avançado Governador Valadares;"Setores da Administração Central (Por exemplo: Pró-reitorias; RestauranteUniversitário, Biblioteca, etc.)";Não exerci atividade de chefia;Remoto;Discordo totalmente;Discordo totalmente;Concordo;Concordo;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Não concordo nem discordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;"Setores da Administração Central (Por exemplo: Pró-reitorias; RestauranteUniversitário, Biblioteca, etc.)";Não exerci atividade de chefia;Semi-presencial;Concordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Concordo totalmente;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Coordenador(a) ou vice-Coordenador(a) de curso de graduação ou de programa de pós-graduação;Remoto;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo
Servidor(a) Docente;UFJF - Campus Avançado Governador Valadares;Ciências Humanas, Sociais e Aplicadas;Não exerci atividade de chefia;Remoto;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo totalmente;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Não concordo nem discordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Concordo totalmente
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Não exerci atividade de chefia;Remoto;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Concordo;Discordo;Discordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Discordo;Discordo;Discordo;Discordo;Discordo
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Não exerci atividade de chefia;Remoto;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Concordo;Concordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências Humanas, Sociais e Aplicadas;Não exerci atividade de chefia;Remoto;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo;Concordo;Discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Discordo
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;"Setores da Administração Central (Por exemplo: Pró-reitorias; RestauranteUniversitário, Biblioteca, etc.)";Não exerci atividade de chefia;Remoto;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Concordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Concordo;Não sei / Não se aplica;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Chefe ou Sub-chefe de departamento ou de setor administrativo;Remoto;Concordo;Concordo;Discordo;Concordo;Não concordo nem discordo;Discordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Não concordo nem discordo;Discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Concordo;Concordo totalmente;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;"Setores da Administração Central (Por exemplo: Pró-reitorias; RestauranteUniversitário, Biblioteca, etc.)";Não exerci atividade de chefia;Remoto;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo totalmente;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo totalmente;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo
Servidor(a) Docente;UFJF - Campus Avançado Governador Valadares;Ciências Humanas, Sociais e Aplicadas;Coordenador(a) ou vice-Coordenador(a) de curso de graduação ou de programa de pós-graduação;Remoto;Não concordo nem discordo;Concordo;Concordo;Concordo;Discordo;Discordo totalmente;Discordo;Concordo;Concordo totalmente;Discordo;Concordo;Concordo;Discordo;Concordo;Concordo totalmente;Concordo totalmente;Discordo;Concordo;Concordo totalmente;Não sei / Não se aplica;Concordo;Concordo totalmente;Concordo;Concordo totalmente;Discordo;Concordo;Concordo;Discordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Não sei / Não se aplica;Concordo totalmente;Concordo;Discordo;Concordo;Não concordo nem discordo;Concordo;Discordo;Discordo;Concordo totalmente;Concordo totalmente;Concordo
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;"Setores da Administração Central (Por exemplo: Pró-reitorias; RestauranteUniversitário, Biblioteca, etc.)";Não exerci atividade de chefia;Remoto;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não sei / Não se aplica;Concordo;Discordo;Discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Concordo;Concordo;Não sei / Não se aplica;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não sei / Não se aplica;Discordo totalmente;Concordo
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Não exerci atividade de chefia;Semi-presencial;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo;Discordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Concordo;Concordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo totalmente;Concordo;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Discordo
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Outros cargos de chefia;Remoto;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo totalmente;Concordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Concordo;Concordo totalmente;Discordo;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica
Servidor(a) Docente;UFJF - Campus Avançado Governador Valadares;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Não exerci atividade de chefia;Remoto;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;"Setores da Administração Central (Por exemplo: Pró-reitorias; RestauranteUniversitário, Biblioteca, etc.)";Não exerci atividade de chefia;Remoto;Concordo;Concordo totalmente;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Não concordo nem discordo;Concordo totalmente;Não concordo nem discordo;Concordo totalmente;Concordo;Discordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Não exerci atividade de chefia;Remoto;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Discordo;Concordo totalmente;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Concordo;Concordo;Discordo;Discordo;Discordo;Concordo;Concordo;Discordo;Concordo;Concordo;Discordo;Discordo;Concordo totalmente
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências Humanas, Sociais e Aplicadas;Não exerci atividade de chefia;Remoto;Não concordo nem discordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Concordo;Discordo;Discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Concordo;Não concordo nem discordo;Discordo;Discordo;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo totalmente;Concordo totalmente;Discordo;Discordo;Não concordo nem discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Outros cargos de chefia;Remoto;Discordo;Concordo;Discordo totalmente;Concordo;Discordo;Discordo;Concordo;Não sei / Não se aplica;Não concordo nem discordo;Discordo;Discordo;Discordo;Discordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Concordo;Não sei / Não se aplica;Discordo;Discordo;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Discordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Concordo;Concordo;Discordo;Discordo;Discordo totalmente;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Discordo
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;"Setores da Administração Central (Por exemplo: Pró-reitorias; RestauranteUniversitário, Biblioteca, etc.)";Não exerci atividade de chefia;Remoto;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Discordo totalmente;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Não exerci atividade de chefia;Remoto;Concordo;Concordo totalmente;Concordo;Não sei / Não se aplica;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo totalmente;Concordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Não exerci atividade de chefia;Semi-presencial;Não concordo nem discordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo totalmente;Discordo;Não sei / Não se aplica;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Não exerci atividade de chefia;Remoto;Concordo;Concordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo
